City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Saint George,US,2021-12-04 02:50:19,37.1041,-113.5841,57.54,34,1,1.01
263,Nosy Varika,MG,2021-12-04 02:51:46,-20.5833,48.5333,73.62,86,3,3.29
264,Itaituba,BR,2021-12-04 02:51:47,-4.2761,-55.9836,72.84,99,100,1.28
265,Dori,BF,2021-12-04 02:51:47,14.0354,-0.0345,75.07,17,78,7.9
266,Sungairaya,ID,2021-12-04 02:51:47,0.7,108.9,82.06,77,98,9.4
267,Esperance,AU,2021-12-04 02:51:48,-33.8667,121.9,73.24,50,0,16.2
268,Bharatpur,IN,2021-12-04 02:51:48,27.2167,77.4833,64.33,53,0,1.92
269,Kucura,RS,2021-12-04 02:51:48,45.5195,19.5838,38.23,60,9,2.93
270,Tazovskiy,RU,2021-12-04 02:51:48,67.4667,78.7,-21.96,94,100,9.31
271,Bambous Virieux,MU,2021-12-04 02:51:49,-20.3428,57.7575,80.22,88,20,3.44
272,Luderitz,NA,2021-12-04 02:51:49,-26.6481,15.1594,60.6,79,81,10.8
273,Maloyaroslavets,RU,2021-12-04 02:51:49,55.0146,36.4719,26.69,90,53,12.68
274,Nishihara,JP,2021-12-04 02:51:50,26.1842,127.7558,69.85,47,75,16.11
275,Necochea,AR,2021-12-04 02:51:50,-38.5473,-58.7368,51.04,82,72,8.59
276,Hasaki,JP,2021-12-04 02:51:50,35.7333,140.8333,61.29,51,0,5.46
277,Nyaunglebin,MM,2021-12-04 02:51:50,17.95,96.7333,77.72,68,44,1.28
278,West Warwick,US,2021-12-04 02:52:51,41.6969,-71.5219,34.83,60,0,1.01
279,Arawa,PG,2021-12-04 02:52:51,-6.2132,155.5367,84.83,77,99,2.75
280,Naze,JP,2021-12-04 02:52:51,28.3667,129.4833,61.72,57,24,20.0
281,Korla,CN,2021-12-04 02:52:52,41.7597,86.1469,28.78,47,98,1.83
282,Sovetskiy,RU,2021-12-04 02:52:52,61.3614,63.5842,3.65,94,20,4.68
283,Bereznik,RU,2021-12-04 02:52:52,62.8551,42.7072,5.11,79,100,10.36
284,San Policarpo,PH,2021-12-04 02:52:52,12.1791,125.5072,79.36,76,100,17.76
285,Vila,PT,2021-12-04 02:52:53,42.0304,-8.1588,45.48,95,100,6.82
286,San Lorenzo,PY,2021-12-04 02:52:53,-25.3333,-57.5333,76.59,57,0,5.99
287,Nha Trang,VN,2021-12-04 02:51:54,12.25,109.1833,78.8,59,100,10.47
288,Black River,JM,2021-12-04 02:52:53,18.0264,-77.8487,80.6,83,100,6.38
289,Dingle,PH,2021-12-04 02:52:54,10.9995,122.6711,81.01,76,92,13.89
290,Kangaatsiaq,GL,2021-12-04 02:52:54,68.3065,-53.4641,20.23,60,99,28.39
291,Acapulco,MX,2021-12-04 02:52:54,16.8634,-99.8901,78.26,78,67,5.75
292,Oranjemund,NA,2021-12-04 02:52:55,-28.55,16.4333,61.45,78,16,17.94
